"series","climate_var","minimum","q01","q05","q25","q50","q75","q95","q99","maximum","n"
"AMADOR","Elevation (m)",37,48,60,81,99,114,192.33223069863,289,355,394
"AMADOR","Effective Precipitation (mm)",-567.86950683594,-556.71899414062,-543.39813232422,-487.9977722168,-385.01718139648,-324.35797119141,-265.27374267578,-168.27163696289,-134.17639160156,394
"AMADOR","Frost-Free Days",298,298,299,322,333,342,352,353,357,394
"AMADOR","Mean Annual Air Temperature (degrees C)",16.215015411377,16.418870925903,16.53436088562,16.610632259257,16.654739379883,16.711967468262,16.821453094482,17.046072006226,17.075134277344,394
"AMADOR","Mean Annual Precipitation (mm)",325,331,335,380,464,516,570.33223069863,659,693,394
"AMADOR","Growing Degree Days (degrees C)",2546,2571,2591,2634,2649.6663764996,2677,2698,2758,2764,394
"AMADOR","Fraction of Annual PPT as Rain",99,99,99,99,99,99,99,100,100,394
"AMADOR","Design Freeze Index (degrees C)",0,0,0,0,0,0,0,0,0,394
"BORDENGULCH","Elevation (m)",1418,1460,1599,1723,1858,2001,2227.1133428027,2321,2541,532
"BORDENGULCH","Effective Precipitation (mm)",59.424350738525,115.59409332275,154.84384155273,212.79769897461,296.8239440918,421.92315673828,1458.1728515625,1964.2847900391,2447.3957519531,532
"BORDENGULCH","Frost-Free Days",52,58,67,82,92,105,116,122,124,532
"BORDENGULCH","Mean Annual Air Temperature (degrees C)",-0.34963062405586,-0.046310178935528,0.6123617887497,3.7488021850586,4.7841830253601,5.3330326080322,6.1065711975098,6.3604235649109,6.5264592170715,532
"BORDENGULCH","Mean Annual Precipitation (mm)",575,613,647,706,771,879,1915,2586,3268,532
"BORDENGULCH","Growing Degree Days (degrees C)",295,356.665544059,411,718,817,882,964,1000,1061,532
"BORDENGULCH","Fraction of Annual PPT as Rain",43,46,50,60,66,70,76,78,80,532
"BORDENGULCH","Design Freeze Index (degrees C)",418,446,485,590,680,808,1512,1625,1716,532
"CECIL","Elevation (m)",16,72,97,168,221,257,337,443,1012,238339
"CECIL","Effective Precipitation (mm)",139.43515014648,227.49391174316,256.15054321289,315.03839111328,356.76477050781,414.2067565918,561.19067382812,739.77716064453,1357.8135986328,238339
"CECIL","Frost-Free Days",173,190,197,208,220,227,235,238,255,238339
"CECIL","Mean Annual Air Temperature (degrees C)",11.861282348633,13.002807617188,13.5060338974,15.051470756531,15.801397323608,16.318374633789,16.954710006714,17.409948348999,18.174463272095,238339
"CECIL","Mean Annual Precipitation (mm)",1010,1071,1094,1130,1180,1248,1367,1539,2083,238339
"CECIL","Growing Degree Days (degrees C)",1907,2287,2403,2682,2829,2945,3096,3199,3370,238339
"CECIL","Fraction of Annual PPT as Rain",95,96,96,98,98,99,99,99,100,238339
"CECIL","Design Freeze Index (degrees C)",25,29,33,45,52,76,148,166,198,238339
"DYLAN","Elevation (m)",1,1,2,5,7,14,28,32,35,149
"DYLAN","Effective Precipitation (mm)",118.45748901367,186.87210083008,242.55940246582,282.52279663086,306.90518188477,338.30567297311,396.78002929688,435.89645385742,438.59042358398,149
"DYLAN","Frost-Free Days",272,272,277,312,316,326,344,344,344,149
"DYLAN","Mean Annual Air Temperature (degrees C)",19.542530059814,19.570827484131,19.738452911377,20.435663223267,20.709186553955,20.833700180054,20.935081481934,21.11244392395,21.17497253418,149
"DYLAN","Mean Annual Precipitation (mm)",1287,1317,1348,1403,1425,1446,1487,1496,1507,149
"DYLAN","Growing Degree Days (degrees C)",3697,3706,3750,3918,3991,4027,4057,4092,4105,149
"DYLAN","Fraction of Annual PPT as Rain",100,100,100,100,100,100,100,100,100,149
"DYLAN","Design Freeze Index (degrees C)",8,8,8,8,9,10,14,17,17,149
"KINROSS","Elevation (m)",177,186,193,217,302,378,499,514,550,6726
"KINROSS","Effective Precipitation (mm)",135.98554992676,163.99690246582,177.93325789794,230.86231994629,254.82151794434,283.14239192897,328.59976196289,372.10098266602,394.98376464844,6726
"KINROSS","Frost-Free Days",97,106,111,120,125,131,156,161,166,6726
"KINROSS","Mean Annual Air Temperature (degrees C)",3.7288229465485,4.0195808410644,4.2814066656854,4.6172494888306,5.1726603507996,6.0222797393799,8.1761360168457,8.4865770339966,8.5857400894165,6726
"KINROSS","Mean Annual Precipitation (mm)",676,723,748,775,793,815,870,902,927,6726
"KINROSS","Growing Degree Days (degrees C)",911,984,1044,1109,1164,1278,1535,1581,1596,6726
"KINROSS","Fraction of Annual PPT as Rain",73,76,79,83,86,88,92,92,92,6726
"KINROSS","Design Freeze Index (degrees C)",651,672,701,1000,1124,1409,1511,1602,1650,6726
"LEON","Elevation (m)",0,1,2,6,14,24,43,56,93,27946
"LEON","Effective Precipitation (mm)",97.971435546875,152.79071044922,190.7606048584,247.51344299316,373.74517822266,487.42398071289,565.12371826172,632.30316162109,717.35400390625,27946
"LEON","Frost-Free Days",206,212,220,242,267,289,319,327,345,27946
