"series","Interfluve","Crest","Head Slope","Nose Slope","Side Slope","Base Slope","n","shannon_entropy"
"AMADOR",0,0.2,0,0,0.8,0,30,0.31091750708257
"BORDENGULCH",0,0,0,0,1,0,2,0
"CECIL",0.5611,0.032,0,0.0214,0.3855,0,843,0.54933037094939
"KINROSS",0,0,0,0,0,1,100,0
"LEON",0.1,0.2,0,0,0.2,0.5,10,0.75840593484404
"PARDEE",0,0.875,0,0,0.125,0,32,0.23410046348828
"PIERRE",0.0571,0,0.0286,0.0857,0.8286,0,105,0.39235867547025
"SITES",0.4211,0,0,0,0.5263,0.0526,19,0.53244402441687
"TAPPAN",0.6364,0,0,0,0,0.3636,11,0.40726107935899
"TOOMES",0.0741,0,0,0,0.9259,0,27,0.1641054474605
"TRISTAN",0,0,0.1667,0,0.8333,0,12,0.27998275007417
