"series","mlra","area_ac","membership"
"AMADOR","18",35991,0.87
"AMADOR","22A",22,0.001
"AMADOR","17",5344,0.129
"BORDENGULCH","43C",18681,0.622
"BORDENGULCH","43B",5304,0.177
"BORDENGULCH","43A",6060,0.202
"CECIL","130B",14661,0.002
"CECIL","148",8211,0.001
"CECIL","136",5870400,0.99
"CECIL","133A",19375,0.003
"CECIL","137",17424,0.003
"DYLAN","150A",11192,0.721
"DYLAN","152B",4337,0.279
"KINROSS","98",4326,0.024
"KINROSS","92",4270,0.024
"KINROSS","94C",2777,0.016
"KINROSS","91B",1543,0.009
"KINROSS","96",662,0.004
"KINROSS","95A",484,0.003
"KINROSS","90A",6308,0.035
"KINROSS","94D",14355,0.08
"KINROSS","93B",17846,0.1
"KINROSS","94B",98506,0.552
"KINROSS","94A",21380,0.12
"KINROSS","99",5935,0.033
"LEON","153B",94073,0.086
"LEON","155",23992,0.022
"LEON","138",7464,0.007
"LEON","154",6484,0.006
"LEON","153A",566945,0.517
"LEON","152A",323002,0.294
"LEON","133A",74758,0.068
"PARDEE","22A",30,0.001
"PARDEE","18",23751,0.811
"PARDEE","17",5521,0.188
"PIERRE","58B",2351,0.002
"PIERRE","60A",841754,0.627
"PIERRE","63A",279654,0.208
"PIERRE","58A",142180,0.106
"PIERRE","64",28801,0.021
"PIERRE","46",13379,0.01
"PIERRE","54",12508,0.009
"PIERRE","61",12285,0.009
"PIERRE","60B",8969,0.007
"SITES","15",924,0.006
"SITES","22B",7006,0.042
"SITES","5",3269,0.02
"SITES","14",1074,0.006
"SITES","22A",144321,0.872
"SITES","18",8976,0.054
"TAPPAN","94A",2827,0.011
"TAPPAN","98",1807,0.007
"TAPPAN","99",259390,0.982
"TOOMES","20",3324,0.014
"TOOMES","5",978,0.004
"TOOMES","29",447,0.002
"TOOMES","15",9375,0.039
"TOOMES","22B",7250,0.03
"TOOMES","17",4716,0.019
"TOOMES","18",206083,0.85
"TOOMES","14",10236,0.042
"TRISTAN","26",21102,0.994
"TRISTAN","22A",86,0.004
"TRISTAN","27",46,0.002
