"series","sibling","majcompflag","n"
"tappan","Poseyville",TRUE,7
"tappan","Londo",TRUE,6
"tappan","Avoca",TRUE,3
"tappan","Corunna",TRUE,2
"tappan","Lenawee",TRUE,1
"tappan","Belleville",FALSE,13
"tappan","Londo",FALSE,13
"tappan","Avoca",FALSE,12
"tappan","Pella",FALSE,4
"tappan","Frankenmuth",FALSE,4
"tappan","Wixom",FALSE,3
"tappan","Poseyville",FALSE,2
"tappan","Essexville",FALSE,1
"tappan","Thomas",FALSE,1
"kinross","Au Gres",TRUE,23
"kinross","Croswell",TRUE,9
"kinross","Dawson",TRUE,5
"kinross","Tawas",TRUE,4
"kinross","Wainola",TRUE,3
"kinross","Pipestone",TRUE,3
"kinross","Allendale",TRUE,3
"kinross","Wakeley",TRUE,3
"kinross","Halfaday",TRUE,2
"kinross","Manido",TRUE,2
"kinross","Kellogg",TRUE,2
"kinross","Deer Park",TRUE,2
"kinross","Markey",TRUE,2
"kinross","Neconish",TRUE,1
"kinross","Rousseau",TRUE,1
"kinross","Covert",TRUE,1
"kinross","Deford",TRUE,1
"kinross","Finch",TRUE,1
"kinross","Grayling",TRUE,1
"kinross","Rubicon",TRUE,1
"kinross","Dawson",FALSE,45
"kinross","Au Gres",FALSE,38
"kinross","Tawas",FALSE,33
"kinross","Croswell",FALSE,20
"kinross","Leafriver",FALSE,10
"kinross","Grayling",FALSE,6
"kinross","Rubicon",FALSE,6
"kinross","Saugatuck",FALSE,5
"kinross","Wainola",FALSE,5
"kinross","Loxley",FALSE,4
"kinross","Markey",FALSE,4
"kinross","Ausable",FALSE,4
"kinross","Covert",FALSE,3
"kinross","Flink",FALSE,3
"kinross","Garlic",FALSE,3
"kinross","Sedgwick",FALSE,3
"kinross","Vilas",FALSE,2
"kinross","Deford",FALSE,2
"kinross","Deer Park",FALSE,2
"kinross","Pipestone",FALSE,2
"kinross","Halfaday",FALSE,2
"kinross","Carbondale",FALSE,2
"kinross","Rousseau",FALSE,2
"kinross","Greenwood",FALSE,2
"kinross","Kalkaska",FALSE,2
"kinross","Sickles",FALSE,1
"kinross","Lupton",FALSE,1
"kinross","Paquin",FALSE,1
"kinross","Grattan",FALSE,1
"geneva","Tenaha",FALSE,6
"pardee","Ranchoseco",TRUE,3
"pardee","Amador",TRUE,1
"pardee","Redding",FALSE,6
"pardee","Amador",FALSE,5
"pardee","Miltonhills",FALSE,4
"pardee","Pentz",FALSE,4
"pardee","Keyes",FALSE,2
"pardee","Toomes",FALSE,2
"pardee","Hadselville",FALSE,2
"pardee","Gillender",FALSE,2
"pardee","Ranchoseco",FALSE,1
"pardee","Peters",FALSE,1
"sites","Jocal",TRUE,14
"sites","Boomer",TRUE,9
"sites","Mariposa",TRUE,8
"sites","Josephine",TRUE,6
"sites","Nedsgulch",TRUE,6
"sites","Pendola",TRUE,2
"sites","Kilarc",TRUE,1
"sites","Mariposa",FALSE,40
"sites","Jocal",FALSE,21
"sites","Boomer",FALSE,21
"sites","Powellton",FALSE,11
"sites","Josephine",FALSE,11
"sites","Toadtown",FALSE,9
"sites","Rogerville",FALSE,7
"sites","Wallyhill",FALSE,6
"sites","Woodleaf",FALSE,5
"sites","Aiken",FALSE,4
"sites","Cohasset",FALSE,4
"sites","Mac",FALSE,4
"sites","Millsholm",FALSE,3
"sites","Lickinfork",FALSE,3
"sites","Kilarc",FALSE,3
"sites","Hurlbut",FALSE,3
"sites","Holland",FALSE,2
"sites","Pendola",FALSE,1
"bordengulch","Angelpeak",TRUE,27
"bordengulch","Vandamine",TRUE,11
"bordengulch","Fruitcreek",TRUE,5
"bordengulch","Towermountain",TRUE,4
"bordengulch","Eastlakesbasin",TRUE,4
"bordengulch","Blackgulch",TRUE,4
"bordengulch","Coerock",TRUE,1
"bordengulch","Towermountain",FALSE,4
"bordengulch","Bluecanyon",FALSE,4
"bordengulch","Twinlake",FALSE,2
"bordengulch","Eastpine",FALSE,2
"bordengulch","Mountemily",FALSE,2
"bordengulch","Troutmeadows",FALSE,2
"bordengulch","Melloe",FALSE,1
"bordengulch","Piegan",FALSE,1
"bordengulch","Katkitos",FALSE,1
"bordengulch","Risingwolf",FALSE,1
"amador","Miltonhills",TRUE,2
"amador","Gillender",TRUE,2
"amador","Pardee",TRUE,1
"amador","Vleck",TRUE,1
"amador","Pardee",FALSE,8
"amador","Hornitos",FALSE,5
"amador","Pentz",FALSE,4
"amador","Redding",FALSE,4
"amador","Miltonhills",FALSE,4
"amador","Exchequer",FALSE,4
"amador","Gillender",FALSE,3
"amador","Vleck",FALSE,2
"amador","Peters",FALSE,2
"amador","Ranchoseco",FALSE,2
"amador","Inks",FALSE,1
"amador","Corning",FALSE,1
"toomes","Supan",TRUE,5
"toomes","Goldwall",TRUE,2
"toomes","Climara",TRUE,2
"toomes","Hambright",TRUE,2
"toomes","Las Posas",TRUE,1
"toomes","Pentz",FALSE,2
"toomes","Amador",FALSE,1
"toomes","Montara",FALSE,1
"cecil","Pacolet",TRUE,12
"cecil","Hayesville",TRUE,12
"cecil","Madison",TRUE,9
"cecil","Bethlehem",TRUE,8
"cecil","Hard Labor",TRUE,6
"cecil","Georgeville",TRUE,5
"cecil","Cataula",TRUE,5
"cecil","Spartanburg",TRUE,3
"cecil","Vance",TRUE,3
"cecil","Mattaponi",TRUE,2
"cecil","Appling",TRUE,2
"cecil","Mecklenburg",TRUE,2
"cecil","Marlboro",TRUE,1
"cecil","Santuc",TRUE,1
"cecil","Turbeville",TRUE,1
"cecil","Cataula",FALSE,81
"cecil","Bethlehem",FALSE,68
"cecil","Pacolet",FALSE,27
"cecil","Spartanburg",FALSE,22
"cecil","Madison",FALSE,22
"cecil","Worsham",FALSE,18
"cecil","Wehadkee",FALSE,15
