series,top,bottom,t,b,n
ABILENE,"{0,20,43,71,127}","{20,43,71,97,165}",127,97,5
ALAMO,"{0,23,94}","{23,69,102}",94,69,3
ALLIGATOR,"{0,10,18,48,74,132,193}","{10,18,48,74,132,165,213}",193,165,7
ALMAVILLE,"{13,20,64,71,102,183}","{14,21,65,72,103,184}",183,103,6
ALTICREST,"{0,3,5,81}","{5,0,25,82}",81,25,4
AMBIA,"{18,41,84,175,244}","{19,42,85,176,245}",244,176,5
ANSEL,"{0,3,8,13,107}","{13,4,9,76,152}",107,76,5
APILAM,"{0,8,15,28,38,41,69,86,112,117,127,152,170}","{15,9,28,38,41,69,86,112,117,127,152,165,203}",170,165,13
BAYS,"{8,48,NULL}","{41,49,8}",48,41,2
BAYUCOS,"{15,36,69,114,152}","{16,37,70,115,153}",152,115,5
BEECH GROVE,"{0,3,8}","{8,0,9}",8,0,3
BENKLIN,"{15,46,84,104,160}","{16,47,85,105,161}",160,105,5
BEXAR,"{20,46,69,81}","{21,47,70,82}",81,70,4
BIDDLEMAN,"{0,5,10,25,61}","{5,10,25,38,152}",61,38,5
BOOMTOWN,"{8,10}","{0,8}",10,0,2
BORAVALL,"{0,23,102,109}","{23,48,152,102}",109,152,4
BROBETT,"{0,8,76}","{8,20,77}",76,20,3
BROOKLYN,"{0,23,36,51,79,102,117,132,185}","{23,36,51,79,102,117,132,158,203}",185,158,9
BRYCE,"{0,25,33,48,61,89,147}","{25,33,48,61,89,114,168}",147,114,7
BUCKHART,"{0,20,38,66,170}","{20,38,66,94,203}",170,94,5
CABLAB,"{0,10,23,41,69,109}","{10,23,41,69,84,152}",109,84,6
CAMPTANK,"{0,8,15,25,43,104}","{8,15,25,43,86,105}",104,86,6
CANARWAY,"{0,5,15,30}","{5,15,25,152}",30,25,4
CARGILL,"{0,15,33,43,76,89}","{15,33,43,64,127,76}",89,127,6
CARIOCA,"{0,76,102,165}","{18,102,142,190}",165,142,4
CASTELLEIA,"{0,3,8,10,25,48,66,81,259}","{10,0,3,25,48,66,81,305,260}",259,305,9
