ac,series,hzname,top,bottom
865029,HOLLAND,Oi,5,6
657523,CIENEBA,O1,0,1
562833,RAZ,Bkqm,30,58
554348,NEUNS,Oi,5,0
512636,DEADWOOD,01,3,4
497262,JOSEPHINE,Oi,5,6
364467,HUGO,Oi,0,3
297029,SHEETIRON,Oi,3,4
288101,COHASSET,0,8,9
249556,MARPA,Oi,3,4
248650,MCCARTHY,0,5,6
211732,SHELD,0,5,6
210484,ZADVAR,Bqkm,28,71
195870,INVILLE,01,0,5
190543,URMAFOT,2Bqkm1,36,66
188944,MARIPOSA,0,3,0
186456,GERLE,O1,5,6
173678,LINNE,C2r,91,130
173678,LINNE,AC,74,81
173678,LINNE,Clca,81,91
172489,BOOMER,Oi,5,0
170412,ARBIDGE,3C,102,165
169676,WACA,0i,0,5
167558,SHERIDAN,C2,109,145
165160,WOODSEYE,Oi,3,4
162871,CAGWIN,Oi,0,3
162547,HANDPAH,Bqkm1,48,56
162547,HANDPAH,Bqkm2,56,152
161230,SITES,0i,8,0
160162,RINCON,Ap,,10
159257,CHAWANAKEE,0,0,1
156699,SAN BENITO,C2,122,152
148455,HOPLAND,C,79,200
131973,LAS POSAS,B21t,30,43
131973,LAS POSAS,B22t,43,69
130838,JAYAR,Oi,3,4
123180,DUBAKELLA,C,53,64
123180,DUBAKELLA,Oi,5,6
120803,PEEKO,Bqkm,28,91
114971,SUR,01,5,6
114313,TURBA,Oi,0,1
111826,HACKWOOD,Oi,0,3
111638,ATRING,Oi,5,6
108693,CANISROCKS,Oe,0,3
108693,CANISROCKS,Oi,0,0
107988,FRESNO,A3,10,30
102946,CLEAVER,Bqkm,28,51
101896,BUFFARAN,Bqkm1,41,60
101204,PINEVAL,Bqk2,53,152
99583,ORNBAUN,Oi,1,2
94602,SANHEDRIN,0i,0,5
94602,SANHEDRIN,Ct,114,200
94468,CASABONNE,Oi,0,2
94468,CASABONNE,Ct,127,200
89897,ZENI,Oi,3,4
85921,TALLAC,0i,0,3
79954,MCNULL,0,3,4
77699,TOEM,O,0,3
77470,DAULTON,B2,5,36
77392,AGUA DULCE,C2,102,122
77152,DINUBA,B2,46,71
76538,PARISA,2Bqkm,66,119
76416,WOHLY,Ct,80,153
73702,MEDCO,2Bw1,30,56
73702,MEDCO,A3,18,30
72706,HURLBUT,0i,5,0
70960,RATTO,2Bkqm,38,48
70571,SATTLEY,Oi,10,0
69621,IRMULCO,0,3,4
69273,KINKEL,O2,3,4
68345,PACIFICO,0,1,2
68206,JOCAL,Oi,5,0
68038,YELLOWHOUND,Oi,3,4
66010,VANNOY,O,2,3
65836,PINEHURST,Oi,3,4
64939,SYCAMORE,C,107,152
63635,NEER,Oi,5,0
62750,YORKTREE,C,130,200
62284,SIRRETTA,Al,,15
62284,SIRRETTA,C2,61,71
62284,SIRRETTA,C1,15,61
62221,ATWATER,A3,30,61
61711,KANID,Oi,3,4
61022,FLOKE,3Bkqm,38,51
60307,SALINAS,A13,33,58
60307,SALINAS,Ap2,13,33
59627,PORTERVILLE,A11,0,20
58761,CARIS,Oi,3,4
58748,KISTIRN,O,8,0
58499,DUZEL,A12,10,20
