"hzname","top_cm","bottom_cm","matric_dry_color_hue","matrix_dry_color_value","matrix_dry_color_chroma","matrix_wet_color_hue","matrix_wet_color_value","matrix_wet_color_chroma","series","MO_region"
"O1",0,6,"5YR",2,2,"5YR",3,3,"Eshamy",1
"O2",6,13,"5YR",3,2,"5YR",3,3,"Eshamy",1
"C1",13,17,"7.5YR",5,4,"",,,"Eshamy",1
"O22",17,34,"5YR",3,3,"5YR",3,4,"Eshamy",1
"IIC2",34,85,"5GY",5,1,"",,,"Eshamy",1
"O11",0,18,"5YR",3,3,"5YR",6,3,"Nanek",1
"O12",18,41,"5YR",2,2,"5YR",3,2,"Nanek",1
"A1f",41,82,"7.5YR",3,2,"5YR",3,4,"Nanek",1
"Cgf",82,85,"5GY",5,1,"",,,"Nanek",1
"A1",0,18,"10YR",4,2,"10YR",2,2,"Nagitsy",1
"A2",18,33,"10YR",4,2,"10YR",2,2,"Nagitsy",1
"AB",33,58,"10YR",4,2,"7.5YR",3,2,"Nagitsy",1
"Bw",58,81,"7.5YR",5,,"7.5YR",3,3,"Nagitsy",1
"Oi",0,5,"5YR",5,2,"",,,"Mosman",1
"Oa",5,18,"10YR",2,1,"",,,"Mosman",1
"E",18,21,"10YR",4,3,"",,,"Mosman",1
"Bhs",21,46,"10YR",3,3,"",,,"Mosman",1
"R",46,,"",,,"",,,"Mosman",1
"Oi",0,3,"",,,"",,,"Hollow",1
"A",3,6,"10YR",3,3,"",,,"Hollow",1
"C1",6,47,"10YR",4,2,"",,,"Hollow",1
"C2",47,,"10YR",4,2,"",,,"Hollow",1
"Oi",0,3,"",,,"",,,"Tsirku",1
"A",3,6,"10YR",4,2,"",,,"Tsirku",1
"C1",6,108,"2.5Y",4,2,"10YR",4,2,"Tsirku",1
"C2",108,156,"5YR",4,2,"",,,"Tsirku",1
"A1",0,13,"10YR",5,3,"10YR",4,3,"Wapi",1
"C1",13,26,"10YR",5,3,"10YR",4,3,"Wapi",1
"C2",26,41,"10YR",5,3,"10YR",4,3,"Wapi",1
"C3",41,46,"10YR",5,3,"10YR",4,3,"Wapi",1
"IIR",46,49,"",,,"",,,"Wapi",1
"O1",0,3,"",,,"",,,"Thornton",1
"O2",3,6,"",,,"",,,"Thornton",1
"A1",6,12,"2.5Y",4,2,"2.5Y",7,2,"Thornton",1
"C1",12,121,"2.5Y",8,2,"10YR",8,1,"Thornton",1
"C2",121,159,"5YR",7,2,"5Y",8,1,"Thornton",1
"E",0,8,"10YR",6,2,"10YR",4,2,"Catchell",1
"2Bt1",8,36,"10YR",5,3,"1-YR",3,4,"Catchell",1
"2Bt2",36,44,"10YR",5,3,"10YR",3,4,"Catchell",1
"2Btk",44,69,"10YR",5,3,"10YR",3,4,"Catchell",1
"2Bk",69,79,"10YR",6,3,"10YR",4,3,"Catchell",1
"3Bkqm",79,81,"",,,"",,,"Catchell",1
"4R",81,,"",,,"",,,"Catchell",1
"O1",0,3,"",,,"",,,"Thader",1
"O2",3,10,"10YR",2,1,"",,,"Thader",1
"E",10,13,"10YR",4,1,"10YR",6,1,"Thader",1
"Bhs1",13,23,"5YR",2,2,"7.5YR",4,4,"Thader",1
"Bhs2",23,43,"7.5YR",3,3,"7.5YR",4,4,"Thader",1
"BC",43,71,"7.5YR",4,4,"10YR",6,4,"Thader",1
"2R",71,,"",,,"",,,"Thader",1
"Oi",0,3,"5YR",2.5,2,"",,,"Chichagof",1
"Oa",3,30,"5YR",2.5,2,"",,,"Chichagof",1
"A",30,41,"2.5Y",3,1,"",,,"Chichagof",1
"Acg",41,53,"5GY",3,1,"",,,"Chichagof",1
"Cgf",53,206,"5BG",4,1,"",,,"Chichagof",1
"O1",0,3,"",,,"",,,"Yahne",1
"A",3,23,"10YR",6,3,"",,,"Yahne",1
"2AE",23,41,"10YR",6,3,"10YR",4,3,"Yahne",1
"2Bt1",41,84,"10YR",5,4,"10YR",3,3,"Yahne",1
"2Bt2",84,152,"10YR",5,4,"10YR",3,3,"Yahne",1
"Oi",0,9,"",,,"",,,"Chilkoot",1
"A",9,20,"5YR",5,2,"",,,"Chilkoot",1
"C1",20,173,"5YR",5,2,"10YR",4,1,"Chilkoot",1
"Oa",0,20,"N",2,,"",,,"Chuckriver",1
"A",20,33,"N",2,,"",,,"Chuckriver",1
"Bw",33,46,"10YR",3,1,"",,,"Chuckriver",1
"R",46,,"",,,"",,,"Chuckriver",1
"Oi",0,10,"",,,"",,,"Coal Creek",1
"Oe",10,15,"5YR",2,2,"",,,"Coal Creek",1
"A",15,23,"10YR",2,2,"2.5Y",4,2,"Coal Creek",1
"Cg1",23,38,"5YR",3,2,"7.5YR",3,2,"Coal Creek",1
"Cg2",38,53,"5GY",4,1,"2.5Y",4,4,"Coal Creek",1
"2Cg3",53,206,"5GY",4,1,"",,,"Coal Creek",1
"Oi",0,3,"",,,"",,,"Standup",1
"A",3,15,"10YR",6,2,"10YR",3,3,"Standup",1
"2Bw1",15,51,"10YR",7,2,"10YR",5,3,"Standup",1
"2Bw2",51,69,"10YR",7,2,"10YR",6,3,"Standup",1
"2C",69,157,"10YR",7,2,"10YR",6,3,"Standup",1
"Oi",0,10,"7.5YR",3,4,"",,,"Copper River",1
"Oe",10,23,"10YR",2,1,"",,,"Copper River",1
"A",23,30,"10YR",2,1,"10YR",2,2,"Copper River",1
"Af",30,56,"10YR",2,1,"10YR",2,2,"Copper River",1
"Oe",0,5,"",,,"",,,"Cispus",1
"A",5,28,"10YR",3,2,"10YR",5,2,"Cispus",1
"Bw",28,41,"10YR",5,4,"10YR",8,4,"Cispus",1
"C",41,117,"10YR",8,8,"10YR",8,4,"Cispus",1
