series,tp,bn,cs,gs
ATSION,0,0,0,1
BAIRSPRING,0,0,1,0
BARNEYCREEK,0,0,1,1
BURNT FORK,0,0,1,0
CASVILLE,0,0,1,1
CERES,0,0,0,1
EDDINGS,0,0,1,1
FUQUAY,0,0,1,1
GREENDALE,0,0,1,1
HARTBENCH,0,0,1,0
HIGHWOOD,0,1,1,0
HUMAREL,0,0,1,0
HURLOCK,0,0,0,1
INGLESIDE,0,0,1,1
LA POSTA,0,0,0,1
MANNIXLEE,0,0,1,0
MELVILLE,0,0,1,0
PEMBERTON,0,0,1,1
PICKNEY,0,0,1,1
QUEPONCO,0,0,1,1
COWCAMP,0,0,1,1
DAPPLEGRAY,0,0,0,1
DOUGHTY,0,0,1,1
SEABOLDT,0,0,1,1
SIMODA,0,0,1,1
STONEVILLE,0,0,1,1
STUTLER,0,0,1,1
TENT,0,0,1,1
TILSIT,0,0,1,1
TONCANA,0,0,0,1
TUSKAHOMA,1,0,1,1
VELOW,1,0,1,1
DANKO,0,0,0,1
DANRIPPLE,0,0,1,1
BASCOM,0,0,0,1
BEANCREEK,0,0,1,0
DANSKIN,0,0,0,1
LIHEN,0,0,1,1
NISHON,0,0,0,1
STECUM,0,0,0,1
BEARPAW,0,0,1,1
ICECAP,0,0,1,1
INMACHUK,0,0,0,1
LAWARD,0,0,0,1
LONGMIRE,0,0,1,1
OBRAST,0,0,0,1
KLUTUK,0,0,0,1
LIART,0,0,0,1
MOOLACK,0,0,1,0
OWYHIGH,0,0,1,1
EVESBORO,0,0,1,1
PONIL,0,0,0,1
GHOST,0,0,1,1
WEARYRIVER,0,0,1,1
MARIEL,0,0,1,1
NUTMEG,0,0,1,0
TRANSQUAKING,0,0,1,1
REMBERT,0,0,0,1
FORBORD,0,0,0,1
ACCOLA,0,0,1,0
ACEL,0,0,1,1
BAGGS,0,0,0,1
BAINVILLE,0,0,1,1
FORELEFT,0,0,1,1
MAHOGANY,0,0,1,0
FORDPRAIRIE,0,0,1,1
ABOR,0,0,1,1
KARNAK,0,0,1,0
KASHWITNA,0,0,0,1
HATCH,0,0,0,1
CALAWAH,0,0,0,1
BRIDGERTON,0,0,1,0
ABSAROKEE,0,0,1,0
ABSAY,0,0,1,0
ABSHER,0,0,0,1
ACOVE,0,0,1,0
ACQUANGO,0,0,0,1
ACREDALE,0,0,1,1
ADIT,0,0,0,1
ADAMSTOWN,0,0,1,1
ADDERTON,0,0,1,0
ADEL,0,0,1,0
ADELPHIA,0,0,1,1
ADGER,0,0,0,1
AERIE,0,0,0,1
ALKALICREEK,0,0,1,0
AHRNKLIN,0,0,0,1
AILEY,0,0,1,1
ANACONDA,0,0,1,1
AKBASH,0,0,1,0
BARKOF,0,0,1,1
ALBANY,0,0,1,1
ALBERTON,0,0,0,1
ALBICALIS,0,0,0,1
ANGORA,0,0,0,1
ALDER,0,0,1,1
ALECANYON,0,0,1,1
ALEKNAGIK,0,0,0,1
ALEX,0,0,0,1
ALEXANDER,0,0,1,0
ALIKCHI,0,0,0,1
ALLEGHENY,0,0,1,1
ALLENTINE,0,0,0,1
ALLOWAY,0,0,1,1
ARSITE,0,0,1,1
ALOHA,0,0,0,1
ALONA,0,0,0,1
ALTAVISTA,0,0,1,1
ALZADA,0,0,1,1
AMALIA,0,0,1,0
AMBRANT,0,0,1,1
AMBROSECREEK,0,0,1,0
AMESHA,0,0,1,0
AMHERST,0,0,0,1
AMSTERDAM,0,0,1,1
APPOQUINIMINK,0,0,1,1
ANAMAC,0,0,1,0
ANCENEY,0,0,0,1
ANCHO,0,0,0,1
ANCHOR BAY,0,0,1,1
ANIAK,0,0,0,1
ANNAPOLIS,0,0,0,1
ANNEMESSEX,0,0,1,1
ANNIESDRAW,0,0,1,0
ANNIS,0,0,0,1
ANTELOPEPEAK,0,0,1,1
ANTHON,0,0,0,1
ANTWERP,0,0,1,1
APPANOOSE,0,0,1,0
APPOMATTOX,0,0,0,1
APTOS,0,0,1,0
AQUASCO,0,0,1,1
AQUATNA,0,0,0,1
ARAHUSTAN,0,0,1,1
ARAPAHOE,0,0,0,1
ARBOLADO,0,0,0,1
ARBOR,0,0,1,1
DECK,0,0,1,1
ARCETTE,0,0,1,0
ARCTANDER,0,0,0,1
ARGIROCKER,0,0,1,1
ARGORA,0,0,1,0
ARIEL,1,0,0,0
ARLEN,0,0,0,1
ARMELLS,0,0,0,1
ARMINGTON,0,0,0,1
ARMITAGE,0,0,0,1
ARROD,0,0,0,1
ARROWPEAK,0,0,1,0
ASCHOFF,0,0,1,1
ASHBON,0,0,0,1
ASHBRAY,0,0,0,1
ASHLO,0,0,1,0
ASHNOLA,0,0,1,0
ASKECKSY,0,0,0,1
ASSINNIBOINE,0,0,1,0
ATHENA,0,0,1,1
ATOMIC,0,1,0,0
AUCHARD,0,0,1,0
AUGGIE,0,0,0,1
AUGUSTA,0,0,1,1
BALLINGER,0,0,0,1
AUREOLA,0,0,1,1
AUTRYVILLE,0,0,1,1
AVENT,0,0,1,0
AWBRIG,0,0,1,1
AXTELL,0,0,1,0
AYERSVILLE,0,0,1,1
AZUVINA,0,0,1,1
BABB,0,0,1,0
BABOON,0,0,1,0
BACKROAD,0,0,0,1
BACOBI,0,1,0,0
BALD,0,0,0,1
BARANOF,0,0,0,1
BALE,0,0,0,1
BALLONA,0,0,0,1
BALLOONTREE,0,0,0,1
BANISTER,0,0,1,1
BANNERTOWN,0,0,0,1
BARBARELA,0,0,1,0
BARBOUR,0,1,0,0
BARCLAY,0,0,0,1
BARFUSS,0,0,1,0
BARGEVILLE,0,0,1,0
BARKERS CROSSROADS,0,0,1,1
BARNWELL,0,0,1,1
CLACKAMAS,0,0,1,1
BARZEE,0,0,0,1
BASCOVY,0,0,0,1
BASHAW,0,0,1,1
BASHER,0,1,0,0
BASINCREEK,0,0,0,1
BATA,0,0,0,1
BATTLEAX,0,0,1,1
BATTLEBUTTE,0,0,0,1
BATZA,0,0,1,1
BAVDARK,0,0,1,0
BAXENDALE,0,0,1,1
BAYBORO,0,0,0,1
BEACHCANYON,0,0,1,0
BEALAND,0,1,0,0
BEANLAKE,0,0,0,1
BEAR CREEK,0,0,1,0
BEARKNOB,0,0,1,1
BEARPAWMEADOW,0,0,1,1
BEARTOOTH,0,0,0,1
BEAUVAIS,0,0,0,1
BEAVERDUMP,0,0,0,1
BEAVERELL,0,0,1,0
BEAVERFLAT,0,0,1,1
BEAVERIDGE,0,0,1,0
BEAVERTON,0,0,0,1
BEAVOE,0,0,1,0
BEAVROCK,0,0,1,0
BEAVWAN,0,0,1,0
BECKLEY,0,1,0,0
BEECH,0,0,1,1
BEECHCREEK,0,0,1,0
BEEFTRAIL,0,0,0,1
BEEHIVE,0,0,0,1
BEEK,0,0,0,1
BELAIN,0,0,1,0
BEENOM,0,0,1,0
BEESKOVE,0,0,0,1
BEIGLE,0,0,0,1
BELHAVEN,0,0,1,1
BELLE,0,0,1,0
COYOTEFLATS,0,0,0,1
BELLSPUR,0,0,0,1
BELLTOWER,0,0,1,1
BIGDRAW,0,0,0,1
BELTON,0,0,0,1
BELTSVILLE,0,0,1,1
CROOM,0,0,0,1
BEMISHAVE,0,0,0,1
BENDOH,0,0,1,0
BENTLEY,0,0,1,1
BENZ,0,0,1,1
BERENICETON,0,0,0,1
BERNICE,0,0,0,1
BERRAY,0,0,0,1
BERRYLAND,0,0,0,1
BERTAG,0,0,0,1
BERTIE,0,0,1,1
BESTPITCH,0,0,0,1
BETHESDA,0,0,1,1
BETTERAVIA,0,0,0,1
BEW,0,0,0,1
BICKERDYKE,0,0,1,1
BICKMORE,0,0,1,0
BIELENBERG,0,0,1,1
BIG TIMBER,0,0,1,1
BIGARM,0,0,1,0
BIGBEAR,0,0,1,1
BIGBEAVER,0,0,0,1
BIGCOULEE,0,1,0,0
BIGCOW,0,0,1,1
BIGELK,0,0,1,1
BIGLAKE,0,0,0,1
BIGMOW,0,0,0,1
BIGNELL,0,0,1,0
BIGRANT,0,1,0,0
BIGSAG,0,0,1,1
BIGSHEEP,0,0,1,0
BIGTOP,0,0,1,0
BILLMAN,0,0,0,1
BILLYCANYON,0,0,1,0
BIRCHFIELD,0,0,0,1
BIRNEY,0,0,0,1
BISCAILUZ,0,0,0,1
BISCOE,0,0,1,1
BITTON,0,0,0,1
BLACKARN,0,0,1,1
BLACKBEAR,0,0,1,0
BLACKCREEK,0,0,0,1
BLACKDOG,0,0,0,1
BLACKGULCH,0,0,0,1
BLACKHAMMER,0,0,1,1
BLACKHOOF,0,0,0,1
BLAND,0,0,0,1
BLACKLEAF,0,0,1,0
BLACKLOUP,0,0,1,1
BLACKMORE,0,0,1,1
BLACKWATER,0,0,1,1
BLACKWOOD,0,0,1,1
BLAINCREEK,0,0,1,0
BLAINE,0,0,1,0
BLANCHARD,0,0,1,1
BLANCHE,0,0,1,1
BLANDBURG,0,0,0,1
BLANDING,0,1,0,0
BLANEY,0,0,0,1
BLER,0,0,1,1
BLEWETT,0,0,0,1
BLOOMINGTON,0,0,1,0
BLOSSBERG,0,0,1,0
BLOWOUT,0,0,0,1
BLUERIM,0,0,0,1
BLUFFDALE,0,0,0,1
BLYTHE,0,0,0,1
BOATMAN,0,0,1,0
BOBKITTY,0,0,0,1
BODELL,0,0,0,1
BODENBURG,0,0,0,1
BODOT,0,0,1,0
BOEL,0,0,0,1
BOHICA,0,0,0,1
BOHNLY,0,0,0,1
BOJAC,0,0,1,1
BOLACK,0,0,0,1
BOLONY,0,0,1,1
BONAPARTE,0,1,0,0
BONDFARM,0,0,0,1
BONDOE,0,0,0,1
BONDRANCH,0,0,0,1
BONFRI,0,0,1,1
BONNASH,0,0,0,1
BONNEAU,0,0,1,1
BORKY,0,0,0,1
BOULDER POINT,0,0,1,1
